type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,local_time,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
,,,-80,0,0,0,0,0,0,0,0,0,0,-92,0,6,1723326827400,0,0,0,0,1723326827400,124,[35 -9 36 -9 35 -9 36 -9 37 -9 36 -10 36 -9 35 -8 35 -9 33 -9 33 -9 31 -9 30 -8 28 -8 28 -9 27 -7 25 -7 25 -7 22 -6 22 -6 21 -5 20 -5 20 -5 19 -4 18 -3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 -6 7 -6 9 -6 11 -7 13 -7 14 -6 16 -6 18 -5 19 -5 22 -5 24 -5 26 -4 28 -3 28 -3 30 -1 30 -2 30 -2 32 -1 33 -1 33 -2 33 -2 34 -2 33 -3 33 -5 35 -6 34 -6]
,,,-80,0,0,0,0,0,0,0,0,0,0,-92,0,6,1723326827420,0,0,0,0,1723326827420,124,[-7 -25 -7 -25 -7 -26 -7 -25 -7 -25 -7 -25 -6 -25 -7 -25 -7 -25 -7 -24 -7 -23 -7 -22 -7 -22 -7 -21 -7 -20 -6 -19 -5 -18 -6 -18 -5 -17 -5 -16 -4 -15 -4 -14 -4 -14 -3 -14 -2 -13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -4 -5 -4 -6 -4 -7 -5 -8 -4 -9 -4 -11 -4 -12 -3 -13 -4 -15 -4 -16 -3 -17 -3 -19 -2 -19 -2 -20 -1 -20 -2 -22 -1 -22 -2 -22 -2 -23 -2 -23 -2 -23 -3 -23 -3 -23 -3 -24 -4 -24 -4 -25]
,,,-80,0,0,0,0,0,0,0,0,0,0,-92,0,6,1723326827440,0,0,0,0,1723326827440,124,[9 23 13 10 23 13 10 23 11 23 13 10 23 11 23 11 23 13 10 22 13 10 22 11 21 13 10 20 13 10 19 13 10 19 9 18 9 18 9 17 8 16 8 15 7 15 7 14 6 13 6 13 6 12 5 12 4 11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 3 4 4 4 5 5 6 5 7 4 9 5 13 10 5 12 5 13 6 14 6 16 5 17 5 18 5 18 4 19 4 20 4 21 4 21 4 21 5 22 5 21 5]
,,,-80,0,0,0,0,0,0,0,0,0,0,-92,0,6,1723326827460,0,0,0,0,1723326827460,124,[-23 -25 -23 -25 -22 -26 -24 -26 -24 -25 -23 -25 -23 -25 -22 -24 -22 -24 -21 -24 -22 -23 -21 -21 -21 -21 -19 -20 -19 -20 -18 -18 -18 -18 -16 -18 -15 -17 -14 -17 -14 -15 -13 -14 -12 -15 -11 -14 -10 -14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -7 -2 -8 -4 -9 -5 -11 -6 -11 -8 -12 -10 -12 -11 -13 -13 -13 -14 -14 -17 -15 -19 -14 -21 -15 -21 -15 -22 -15 -23 -15 -24 -15 -25 -15 -25 -16 -25 -17 -26 -17 -27 -17 -26 -17 -26 -19 -26 -19 -26 -20 -26]
,,,-80,0,0,0,0,0,0,0,0,0,0,-92,0,6,1723326827480,0,0,0,0,1723326827480,124,[6 24 7 25 7 24 7 24 8 24 8 24 7 24 8 23 8 23 8 22 7 21 7 20 7 20 7 19 7 19 6 18 7 17 6 16 5 16 5 15 5 14 4 13 4 13 3 12 2 12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 4 3 5 3 6 3 7 3 8 3 13 10 3 11 3 12 3 13 3 15 2 17 2 18 1 18 1 19 1 20 1 21 0 21 1 21 1 22 1 22 1 22 2 22 2 23 3 23 4 23 4]
,,,-80,0,0,0,0,0,0,0,0,0,0,-92,0,6,1723326827507,0,0,0,0,1723326827507,124,[30 -14 30 -14 30 -14 30 -15 31 -15 31 -15 30 -14 28 -14 29 -14 27 -14 27 -14 26 -13 24 -13 24 -13 23 -12 23 -12 21 -11 20 -11 19 -10 19 -10 18 -9 17 -8 17 -8 16 -7 16 -5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 -6 6 -6 7 -7 9 -7 13 10 -7 11 -8 13 -7 15 -8 17 -8 20 -8 21 -8 22 -7 25 -7 25 -6 26 -6 26 -7 27 -6 28 -6 28 -7 29 -7 30 -7 29 -8 29 -8 30 -9 30 -10 30]
,,,-80,0,0,0,0,0,0,0,0,0,0,-92,0,6,1723326827520,0,0,0,0,1723326827520,124,[-26 -22 -26 -22 -26 -24 -26 -23 -26 -23 -26 -23 -25 -22 -25 -22 -25 -22 -24 -21 -25 -19 -23 -18 -23 -18 -22 -17 -21 -17 -20 -17 -19 -16 -19 -16 -17 -15 -16 -15 -15 -14 -16 -13 -14 -13 -13 -12 -12 -13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -7 -3 -8 -4 -10 -5 -10 -5 -12 -7 -12 -9 -13 -10 -13 -13 -15 -13 -16 -16 -16 -17 -16 -19 -17 -20 -17 -21 -17 -22 -18 -23 -16 -23 -17 -24 -18 -24 -18 -24 -18 -25 -20 -24 -20 -25 -21 -23 -22 -23 -22 -24]
,,,-80,0,0,0,0,0,0,0,0,0,0,-92,0,6,1723326827541,0,0,0,0,1723326827541,124,[-2 -26 -2 -26 -2 -26 -3 -26 -3 -26 -3 -27 -2 -26 -3 -26 -2 -25 -3 -25 -3 -23 -3 -23 -3 -22 -3 -21 -2 -21 -3 -20 -2 -19 -2 -18 -2 -18 -2 -17 -2 -15 -2 -15 -1 -14 -1 -14 0 -13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -4 -5 -4 -7 -3 -7 -3 -8 -3 -10 -3 -11 -3 -12 -2 -14 -2 -15 -1 -16 -1 -18 0 -19 1 -20 2 -20 2 -20 1 -21 2 -22 2 -22 2 -22 2 -23 2 -23 1 -23 2 -23 1 -24 1 -24 0 -25]
,,,-80,0,0,0,0,0,0,0,0,0,0,-92,0,6,1723326827561,0,0,0,0,1723326827561,124,[-21 -16 -21 -16 -21 -16 -22 -16 -21 -16 -22 -15 -21 -15 -20 -15 -21 -15 -20 -15 -19 -14 -19 -13 -19 -13 -18 -13 -17 -12 -16 -11 -16 -11 -15 -10 -14 -10 -14 -10 -13 -9 -12 -9 -12 -9 -11 -9 -10 -9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -6 -2 -7 -3 -8 -3 -8 -4 -9 -4 -9 -6 -11 -7 -11 -8 -12 -9 -13 -10 -13 -12 -14 -14 -14 -14 -14 -15 -14 -15 -14 -17 -14 -16 -14 -17 -16 -17 -16 -17 -16 -17 -16 -17 -16 -17 -17 -17 -18 -17 -18 -17]
,,,-80,0,0,0,0,0,0,0,0,0,0,-92,0,6,1723326827580,0,0,0,0,1723326827580,124,[11 -23 12 -23 11 -23 11 -23 11 -24 11 -24 11 -23 13 10 -23 13 10 -22 13 10 -22 13 10 -22 9 -20 9 -20 8 -19 8 -19 8 -18 7 -17 7 -17 7 -16 6 -15 6 -15 6 -14 6 -13 6 -12 7 -11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 -6 0 -7 1 -8 1 -8 2 -10 3 -10 3 -12 5 -13 6 -14 7 -14 8 -15 13 10 -16 11 -16 11 -16 12 -16 12 -17 13 -17 13 -18 13 -18 13 -19 14 -19 14 -19 13 -19 14]
